Data,Hora,Liga,Jogo,Home,Away,Método,Mercado,Lado,Odd_Entrada,Odd_Fav,Placar,Resultado,1/0,Status,PnL_u,P/L,Passa_Filtro_Refinado,Detalhe_Filtro
2026-08-29,15:00,TURKEY 1,Galatasaray x Goztepe,Galatasaray,Goztepe,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.4,1.33,3x1,GREEN,1.0,🟢 GREEN,0.1787,0.1787,False,Over3.5=2.36 (<2.54)
2026-08-29,15:00,ITALY 1,Juventus x Parma,Juventus,Parma,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.26,2x0,GREEN,1.0,🟢 GREEN,0.1664,0.1664,True,Over3.5=3.05 (>=2.54)
2026-08-29,15:00,CROATIA 1,Varazdin x Rudes,Varazdin,Rudes,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.3,1x0,GREEN,1.0,🟢 GREEN,0.1664,0.1664,True,Over3.5=2.66 (>=2.54)
2026-08-29,15:00,COLOMBIA 2,Real Cartagena x Tigres FC Zipaquira,Real Cartagena,Tigres FC Zipaquira,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,6.8,1.27,1x0,GREEN,1.0,🟢 GREEN,0.1664,0.1664,True,Over3.5=3.10 (>=2.54)
2026-08-29,15:00,PERU 1,Alianza Lima x Deportivo Garcilaso,Alianza Lima,Deportivo Garcilaso,Lay Draw (Fav <= 1.40),Match Odds (Draw),LAY,5.5,1.34,3x4,GREEN,1.0,🟢 GREEN,0.2144,0.2144,True,Over3.5=3.45 (>=2.54)
2026-08-29,15:00,JAPAN 1,Nagasaki x FC Tokyo,Nagasaki,FC Tokyo,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,6.2,1.62,0x1,GREEN,1.0,🟢 GREEN,0.1856,0.1856,True,"Away=1.62 ([1.54, 1.65])"
2026-08-29,15:00,GERMANY 1,Elversberg x Leverkusen,Elversberg,Leverkusen,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,5.8,1.63,1x2,GREEN,1.0,🟢 GREEN,0.201,0.201,True,"Away=1.63 ([1.54, 1.65])"
2026-08-29,15:00,SAUDI ARABIA 1,Al-Kholood Club x Al Ahli,Al-Kholood Club,Al Ahli,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,9.0,1.44,0x1,GREEN,1.0,🟢 GREEN,0.1206,0.1206,False,Away=1.44 (fora da faixa)
2026-08-29,15:00,CROATIA 1,NK Istra x Dinamo Zagreb,NK Istra,Dinamo Zagreb,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,8.0,1.45,0x2,GREEN,1.0,🟢 GREEN,0.1379,0.1379,False,Away=1.45 (fora da faixa)
2026-08-29,15:00,ISRAEL 1,Hapoel Ramat Gan x Hapoel Be'er Sheva,Hapoel Ramat Gan,Hapoel Be'er Sheva,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,8.4,1.48,0x2,GREEN,1.0,🟢 GREEN,0.1304,0.1304,False,Away=1.48 (fora da faixa)
2026-08-29,15:00,USA 1,Kansas City x Vancouver Whitecaps,Kansas City,Vancouver Whitecaps,Lay Home / DC X2 (Fav Visitante <= 1.65),Match Odds (Home),LAY,7.6,1.46,1x1,GREEN,1.0,🟢 GREEN,0.1462,0.1462,False,Away=1.46 (fora da faixa)
