Data,Metodo,Home,Away,Odd,placar_gravado,placar_verificado,fonte,resultado_gravado,resultado_verificado,pnl_gravado,pnl_verificado,placar_bate,resultado_bate
2026-08-22,Lay Draw (Fav <= 1.40),Sport Huancayo,Cesar Vallejo Moquegua,5.7,?,,,GREEN,SEM_PLACAR,0.2021,,,
2026-08-22,Lay Draw (Fav <= 1.40),Inter,AC Monza,8.8,?,4-1,betfair:fuzzy0.92,GREEN,GREEN,0.1218,0.12179487179487178,,True
2026-08-22,Lay Draw (Fav <= 1.40),AEK Athens,Iraklis,7.2,?,4-0,b365:fuzzy0.89,GREEN,GREEN,0.1532,0.15322580645161288,,True
2026-08-22,Lay Draw (Fav <= 1.40),Slavia Prague,Bohemians 1905,6.4,?,2-2,betfair:fuzzy0.91,RED,RED,-1.0,-1.0,,True
2026-08-22,Lay Draw (Fav <= 1.40),St Etienne,Grenoble,5.4,?,4-0,betfair:exato,GREEN,GREEN,0.2159,0.21590909090909088,,True
2026-08-22,Lay Draw (Fav <= 1.40),Al Ahli,Abha,7.8,?,4-0,betfair:fuzzy0.93,GREEN,GREEN,0.1397,0.13970588235294118,,True
2026-08-22,Lay Draw (Fav <= 1.40),PFC Levski Sofia,Spartak Varna,6.2,?,6-0,betfair:fuzzy0.94,GREEN,GREEN,0.1827,0.18269230769230768,,True
2026-08-22,Lay Draw (Fav <= 1.40),Olympiakos,Atromitos,7.0,?,1-0,betfair:fuzzy0.83,GREEN,GREEN,0.1583,0.15833333333333333,,True
2026-08-22,Lay Draw (Fav <= 1.40),Fenerbahce,Konyaspor,6.6,?,4-2,betfair:exato,GREEN,GREEN,0.1696,0.16964285714285715,,True
2026-08-22,Lay Draw (Fav <= 1.40),Univ Catolica (Ecu),Manta FC,6.2,?,,,GREEN,SEM_PLACAR,0.1827,,,
2026-08-22,Lay Draw (Fav <= 1.40),Sporting Lisbon,Alverca,8.2,?,3-1,betfair:fuzzy0.83,GREEN,GREEN,0.1319,0.13194444444444445,,True
2026-08-22,Lay Draw (Fav <= 1.40),Inter Miami CF,Toronto FC,6.6,?,1-2,betfair:fuzzy0.95,GREEN,GREEN,0.1696,0.16964285714285715,,True
2026-08-22,Lay Draw (Fav <= 1.40),Ind Medellin,Cucuta Deportivo,6.8,?,,,GREEN,SEM_PLACAR,0.1638,,,
2026-08-22,Lay Draw (Fav <= 1.40),Vancouver Whitecaps,FC Dallas,5.8,?,5-0,betfair:exato,GREEN,GREEN,0.1979,0.19791666666666666,,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Cheonan City,Suwon Bluewings,6.4,0x1,0-1,betfair:exato,GREEN,GREEN,0.1759,0.1759259259259259,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Meizhou Hakka,Guangdong GZ-Power FC,8.2,1x5,1-5,b365:fuzzy0.97,GREEN,GREEN,0.1319,0.13194444444444445,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Fortuna Sittard,AZ Alkmaar,5.7,0x2,0-2,betfair:fuzzy0.83,GREEN,GREEN,0.2021,0.20212765957446807,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),SK Artis Brno,Sparta Prague,9.4,0x4,0-4,b365:fuzzy0.95,GREEN,GREEN,0.1131,0.11309523809523808,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Harju JK Laagri,Nomme Kalju,5.6,1x0,1-0,betfair:fuzzy0.83,RED,RED,-1.0,-1.0,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Espanyol,Real Madrid,8.6,1x2,1-2,betfair:exato,GREEN,GREEN,0.125,0.125,True,True
2026-08-22,Lay Home / DC X2 (Fav Visitante <= 1.65),Rayo Zuliano,Deportivo La Guaira,7.0,1x4,1-4,betfair:fuzzy0.82,GREEN,GREEN,0.1583,0.15833333333333333,True,True
2026-08-22,Lay Over 4.5 FT (Under Pesado),FC Guidonia Montecelio 1937,Gubbio,18.0,3x0,,,GREEN,SEM_PLACAR,0.0559,,,
2026-08-22,Lay Over 4.5 FT (Under Pesado),Al-Masry,Smouha,19.0,1x0,1-0,betfair:exato,GREEN,GREEN,0.0528,0.05277777777777778,True,True
2026-08-23,Lay Draw (Fav <= 1.40),Shanghai Port FC,Qingdao Hainiu,6.6,?,2-1,betfair:fuzzy0.96,GREEN,GREEN,0.1696,0.16964285714285715,,True
2026-08-23,Lay Draw (Fav <= 1.40),KuPS,IFK Mariehamn,6.0,?,2-4,betfair:fuzzy0.93,GREEN,GREEN,0.19,0.19,,True
2026-08-23,Lay Draw (Fav <= 1.40),Young Boys,FC Vaduz,6.8,?,4-2,b365:fuzzy0.92,GREEN,GREEN,0.1638,0.16379310344827586,,True
2026-08-23,Lay Draw (Fav <= 1.40),PSV,FC Groningen,7.0,?,5-1,betfair:fuzzy0.95,GREEN,GREEN,0.1583,0.15833333333333333,,True
2026-08-23,Lay Draw (Fav <= 1.40),Cambuur Leeuwarden,Feyenoord,7.4,2x5,,,GREEN,SEM_PLACAR,0.1484,,,
2026-08-23,Lay Draw (Fav <= 1.40),Club Brugge,Cercle Brugge,7.0,?,1-0,betfair:fuzzy0.90,GREEN,GREEN,0.1583,0.15833333333333333,,True
2026-08-23,Lay Draw (Fav <= 1.40),Borac Banja Luka,Celik Zenica,7.6,?,2-0,betfair:exato,GREEN,GREEN,0.1439,0.14393939393939395,,True
2026-08-23,Lay Draw (Fav <= 1.40),Crvena Zvezda,Cukaricki,8.8,?,4-0,betfair:exato,GREEN,GREEN,0.1218,0.12179487179487178,,True
2026-08-23,Lay Draw (Fav <= 1.40),Zrinjski,Zeljeznicar,8.0,?,2-0,betfair:exato,GREEN,GREEN,0.1357,0.1357142857142857,,True
2026-08-23,Lay Draw (Fav <= 1.40),Vikingur Reykjavik,Valur,6.8,?,2-0,betfair:exato,GREEN,GREEN,0.1638,0.16379310344827586,,True
2026-08-23,Lay Draw (Fav <= 1.40),Porto,Arouca,6.6,?,2-0,betfair:fuzzy0.92,GREEN,GREEN,0.1696,0.16964285714285715,,True
2026-08-23,Lay Draw (Fav <= 1.40),Elche,Barcelona,6.2,0x5,0-5,betfair:exato,GREEN,GREEN,0.1827,0.18269230769230768,True,True
2026-08-23,Lay Draw (Fav <= 1.40),Universitario de Deportes,CD Los Chankas,6.8,?,,,GREEN,SEM_PLACAR,0.1638,,,
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Septemvri,CSKA 1948 Sofia,7.0,1x0,1-0,betfair:fuzzy0.89,RED,RED,-1.0,-1.0,True,True
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Parnu JK Vaprus,Tallinna FC Flora,5.7,1x2,,,GREEN,SEM_PLACAR,0.2021,,,
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Boluspor,Mardin Buyuksehir Belediyespor,7.2,0x3,,,GREEN,SEM_PLACAR,0.1532,,,
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Frosinone,Juventus,8.4,0x1,0-1,betfair:exato,GREEN,GREEN,0.1284,0.12837837837837837,True,True
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Hapoel Jerusalem,Maccabi Tel Aviv,8.6,2x5,2-5,betfair:exato,GREEN,GREEN,0.125,0.125,True,True
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Rennes,Paris St-G,7.0,2x2,,,GREEN,SEM_PLACAR,0.1583,,,
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),CDT Real Oruro,Bolivar,8.0,2x4,2-4,betfair:fuzzy0.93,GREEN,GREEN,0.1357,0.1357142857142857,True,True
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Elche,Barcelona,9.6,0x5,0-5,betfair:exato,GREEN,GREEN,0.1105,0.11046511627906977,True,True
2026-08-23,Lay Home / DC X2 (Fav Visitante <= 1.65),Real Tomayapo,Always Ready,6.4,1x1,1-1,betfair:fuzzy0.90,GREEN,GREEN,0.1759,0.1759259259259259,True,True
2026-08-23,Lay Over 4.5 FT (Under Pesado),Quindio,Envigado,18.0,1x0,1-0,betfair:exato,GREEN,GREEN,0.0559,0.055882352941176466,True,True
2026-08-24,Lay Draw (Fav <= 1.40),Libertad,Sportivo San Lorenzo,5.4,?,,,GREEN,SEM_PLACAR,0.2159,,,
2026-08-24,Lay Draw (Fav <= 1.40),Boyaca Patriotas,Atletico FC Cali,5.4,?,,,GREEN,SEM_PLACAR,0.2159,,,
2026-08-24,Lay Home / DC X2 (Fav Visitante <= 1.65),NEOM Sports Club,Al-Quadisiya (KSA),7.0,0x2,,,GREEN,SEM_PLACAR,0.1583,,,
2026-08-24,Lay Home / DC X2 (Fav Visitante <= 1.65),Jong FC Utrecht,Heracles,6.8,1x6,1-6,betfair:fuzzy0.96,GREEN,GREEN,0.1638,0.16379310344827586,True,True
2026-08-25,Lay Draw (Fav <= 1.40),Orlando Pirates (SA),Sekhukhune United,5.4,?,2-0,betfair:fuzzy0.85,GREEN,GREEN,0.2159,0.21590909090909088,,True
2026-08-25,Lay Draw (Fav <= 1.40),Al-Ettifaq,Al Nassr,7.6,2x3,2-3,betfair:exato,GREEN,GREEN,0.1439,0.14393939393939395,True,True
2026-08-25,Lay Draw (Fav <= 1.40),Afturelding,Grotta,9.0,?,2-0,betfair:exato,GREEN,GREEN,0.1188,0.11875,,True
2026-08-25,Lay Home / DC X2 (Fav Visitante <= 1.65),Doncaster,Middlesbrough,6.2,1x3,1-3,betfair:exato,GREEN,GREEN,0.1827,0.18269230769230768,True,True
2026-08-25,Lay Home / DC X2 (Fav Visitante <= 1.65),Sheff Wed,Wolves,6.6,0x2,0-2,b365:fuzzy0.90,GREEN,GREEN,0.1696,0.16964285714285715,True,True
2026-08-25,Lay Over 4.5 FT (Under Pesado),Deportivo Madryn,Godoy Cruz,18.5,2x0,2-0,betfair:exato,GREEN,GREEN,0.0543,0.054285714285714284,True,True
2026-08-25,Lay Over 4.5 FT (Under Pesado),Santa Fe,Jaguares de Cordoba,10.5,nan,,,PENDENTE,SEM_PLACAR,,,,
2026-08-26,Lay Draw (Fav <= 1.40),Stromsgodset,Hodd,8.2,?,3-1,betfair:exato,GREEN,GREEN,0.1319,0.13194444444444445,,True
2026-08-26,Lay Draw (Fav <= 1.40),Mamelodi Sundowns,AmaZulu,6.4,?,5-2,betfair:exato,GREEN,GREEN,0.1759,0.1759259259259259,,True
