Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Odd_Base,Odd_Real_Pega,1/0
2026-04-07,14:30:00,SWITZERLAND 2,FC Wil x Neuchatel Xamax,Lay_CS_1x0_B365,12.0,12.0,1.0
2026-04-07,14:00:00,SWEDEN 2,Oddevold x Sandvikens,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-07,14:00:00,SWEDEN 2,Oddevold x Sandvikens,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-07,14:00:00,GERMANY 3,Schweinfurt x Rot-Weiss Essen,Lay_CS_0x1_B365,12.5,12.5,1.0
2026-04-07,16:00:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.4,8.4,1.0
2026-04-07,16:01:00,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,8.6,8.6,1.0
2026-04-08,12:50:00,SAUDI ARABIA 1,Al-Anwar Club x Al-Wahda (KSA),Lay_CS_0x1_B365,25.0,25.0,1.0
2026-04-08,12:50:00,SAUDI ARABIA 1,Al-Anwar Club x Al-Wahda (KSA),Lay_CS_1x0_B365,24.0,24.0,1.0
2026-04-08,13:00:00,GREECE 1,Atromitos x Kifisia,Lay_CS_0x1_B365,26.0,26.0,1.0
2026-04-08,13:00:00,GREECE 1,Atromitos x Kifisia,Lay_CS_1x0_B365,9.2,9.2,1.0
2026-04-08,14:00:00,TURKEY 1,Goztepe x Galatasaray,Lay_CS_0x1_B365,8.8,8.8,1.0
2026-04-08,10:00:00,ITALY 3,Inter Milan (Res) x A.C. Trento S.C.S.D.,Lay_CS_0x1_B365,13.0,13.0,1.0
2026-04-08,10:00:00,ITALY 3,Inter Milan (Res) x A.C. Trento S.C.S.D.,Lay_CS_1x0_B365,13.5,13.5,1.0
2026-04-08,09:30:00,ITALY 3,Juventus B x Ternana,Lay_CS_0x1_B365,12.0,12.0,1.0
2026-04-08,09:30:00,ITALY 3,Juventus B x Ternana,Lay_CS_1x0_B365,10.0,10.0,1.0
2026-04-08,08:30:00,TURKEY 2,Serik Belediyespor x Van Buyuksehir Belediyespor,Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-09,14:40:00,SAUDI ARABIA 1,Al-Adalh x Al Batin,Lay_CS_0x1_B365,17.0,17.0,1.0
2026-04-09,14:40:00,SAUDI ARABIA 1,Al-Adalh x Al Batin,Lay_CS_1x0_B365,15.0,15.0,1.0
2026-04-09,11:00:00,TURKEY 2,Boluspor x Sivasspor,Lay_CS_0x1_B365,14.0,14.0,1.0
2026-04-09,11:00:00,TURKEY 2,Boluspor x Sivasspor,Lay_CS_1x0_B365,13.0,13.0,1.0
2026-04-09,13:00:00,SAUDI ARABIA 1,Dhamk x Al-Quadisiya (KSA),Lay_CS_0x1_B365,11.5,11.5,1.0
2026-04-09,13:00:00,SAUDI ARABIA 1,Dhamk x Al-Quadisiya (KSA),Lay_CS_1x0_B365,34.0,34.0,1.0
2026-04-10,15:00:00,FRANCE 2,Annecy x Montpellier,Lay_CS_0x1_B365,10.5,10.5,1.0
2026-04-10,15:00:00,FRANCE 2,Annecy x Montpellier,Lay_CS_1x0_B365,9.8,9.8,1.0
2026-04-10,15:00:00,FRANCE 2,Clermont x Nancy,Lay_CS_0x1_B365,11.0,11.0,1.0
2026-04-10,15:00:00,FRANCE 2,Clermont x Nancy,Lay_CS_1x0_B365,8.8,8.8,1.0
