runner,lado,fav,gols,lado_fav,corte,N_rec,perdas_rec,ROI_rec,IC_lo,IC_hi,p_ic,dias,N_antes,ROI_antes,P_perm,odd_med,aprovado,BH_ic,BH_perm,fam
Over35_FT,back,fav1.40-1.80,U25 1.60-2.20,fav casa,TOP 3,81,47,32.57716049382715,-5.133904224492915,69.02793124197682,0.045,30,448,0.9854910714285662,0.0475,3.2,False,False,False,nao-CS
BTTS_Yes,lay,fav>1.80,U25 1.60-2.20,fav casa,TOP 3,96,43,19.681045422875645,-3.457591382559211,41.404074789557704,0.0455,33,549,-11.670963495755412,0.01,1.7850000000000001,False,False,False,nao-CS
D,lay,fav<=1.40,Todos,Todos,Todos,177,18,5.067241126803937,-0.9638399834815212,10.345325408458256,0.0475,29,776,-1.214271957595662,0.02,6.6,True,False,False,nao-CS
A,back,fav1.40-1.80,Todos,fav fora,TOP 3,61,16,16.224590163934423,-2.645708333333335,35.42922697368421,0.0485,26,338,-0.9519230769230793,0.035,1.61,False,False,False,nao-CS
Over15_HT,back,fav1.40-1.80,Todos,fav casa,TOP 3,98,44,18.325510204081624,-2.9880571546052663,39.44327692743762,0.049,35,547,-7.35950639853748,0.0125,2.12,False,False,False,nao-CS
CS_1x2,back,fav1.40-1.80,Todos,fav casa,TOP 3,98,86,89.83673469387755,-10.928311820652176,213.35697508609547,0.049,35,538,-12.578996282527886,0.0225,17.0,False,False,False,CS
CS_0x1,lay,fav1.40-1.80,Todos,Todos,TOP 3,99,5,3.7423196272496004,-0.8092179166252936,7.615687824251817,0.05,36,554,-3.863181826622988,0.0175,11.5,False,False,False,CS
CS_2x0,back,Todos,U25<=1.60,fav casa,TOP 3,84,70,52.267857142857146,-9.197863676929945,119.61393964562563,0.0505,33,419,-54.46897374701671,0.0,9.1,False,False,True,CS
A,back,fav1.40-1.80,U25>2.20,Todos,TOP 3,90,43,22.955,-4.220845108695654,56.04895410628019,0.051,33,453,7.395474613686533,0.175,1.74,False,False,False,nao-CS
CS_1x0,lay,Todos,U25<=1.60,fav casa,TOP 3,81,8,6.11267436978463,-1.0526605528745452,12.603700147852495,0.051,33,418,-4.2685226588955025,0.0175,6.2,False,False,False,CS
Over05_HT,back,fav1.40-1.80,Todos,fav fora,Todos,87,19,7.305172413793104,-1.755818858560793,16.934177083333317,0.0525,24,460,-2.3177173913043494,0.09,1.37,False,False,False,nao-CS
Under15_HT,back,fav>1.80,Todos,Todos,TOP 3,103,19,7.729126213592235,-1.8615992040380482,16.519933772538142,0.053,35,607,-5.153047775947281,0.0175,1.32,False,False,False,nao-CS
D,lay,fav<=1.40,Todos,fav casa,TOP 3,75,8,5.9269265178982025,-1.2974039158925215,12.790860093967598,0.0535,29,357,-2.056861891000885,0.06,6.0,False,False,False,nao-CS
CS_1x2,back,fav>1.80,U25>2.20,fav fora,TOP 3,80,67,57.443749999999994,-10.927975478468896,133.75287162162147,0.0535,30,325,0.8584615384615315,0.085,9.8,False,False,False,CS
CS_2x0,lay,Todos,U25>2.20,fav fora,TOP 3,76,1,2.58780627587112,-0.3774829025852962,4.081622523848669,0.054,29,372,2.5550699140158244,0.495,23.5,False,False,False,CS
CS_2x0,lay,fav>1.80,U25>2.20,fav fora,TOP 3,76,1,2.58780627587112,-0.3774829025852962,4.081622523848669,0.054,29,314,1.8383957760500322,0.3975,23.5,False,False,False,CS
Over05_HT,lay,Todos,U25<=1.60,fav casa,TOP 3,85,43,21.177221688155043,-4.7340905249168905,47.93813523125786,0.0545,33,433,-2.9894253199414753,0.0375,1.64,False,False,False,nao-CS
BTTS_Yes,back,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,55,20,22.311818181818175,-4.648543625914319,47.296340137857904,0.055,19,282,-3.2260638297872366,0.025,1.93,False,False,False,nao-CS
12,back,fav>1.80,U25<=1.60,fav casa,TOP 3,43,10,15.119767441860466,-2.7610480829666892,31.140834374999994,0.0555,23,212,-10.415801886792456,0.01,1.52,False,False,False,nao-CS
12,back,Todos,Todos,fav casa,TOP 3,43,10,15.119767441860466,-2.7610480829666892,31.140834374999994,0.0555,23,214,-11.257476635514019,0.0125,1.52,False,False,False,nao-CS
12,back,Todos,U25<=1.60,fav casa,TOP 3,43,10,15.119767441860466,-2.7610480829666892,31.140834374999994,0.0555,23,212,-10.415801886792456,0.0125,1.52,False,False,False,nao-CS
12,back,fav>1.80,Todos,fav casa,TOP 3,43,10,15.119767441860466,-2.7610480829666892,31.140834374999994,0.0555,23,214,-11.257476635514019,0.0125,1.52,False,False,False,nao-CS
X2,back,Todos,Todos,fav casa,TOP 3,106,30,11.732547169811317,-2.6244595125786185,25.06656249999999,0.056,36,622,-3.3658360128617373,0.0425,1.56,False,False,False,nao-CS
CS_1x2,lay,fav>1.80,U25>2.20,fav casa,TOP 3,88,3,3.6746285557704734,-1.1221599771324469,7.304074695948539,0.056,35,394,-3.476702604431545,0.0075,13.5,False,False,False,CS
CS_1x1,lay,fav<=1.40,U25>2.20,Todos,Todos,156,6,2.091370172663778,-0.4864190851909578,4.549032763773945,0.0565,29,561,2.0193486999523085,0.52,15.5,False,False,False,CS
CS_0x1,lay,fav1.40-1.80,Todos,fav fora,TOP 3,66,4,4.829981997028946,-1.2323610936278449,10.12056673779656,0.0565,26,357,-7.179359241141143,0.015,8.9,False,False,False,CS
Over05_HT,lay,fav>1.80,U25<=1.60,Todos,Todos,245,132,8.513077733174287,-1.8816738324402709,20.706661749240123,0.057,33,1381,-2.221519359213876,0.0975,1.69,False,False,False,nao-CS
BTTS_No,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,Todos,55,20,22.02738899907508,-4.919377378353245,46.98324068418574,0.0575,19,281,-3.115776322197583,0.0375,2.08,False,False,False,nao-CS
Over05_HT,lay,Todos,U25<=1.60,Todos,TOP 3,91,47,19.30960311742892,-4.414009991132888,44.25641522347852,0.058,34,474,-3.0696250688080347,0.04,1.63,False,False,False,nao-CS
CS_1x1,lay,fav>1.80,U25<=1.60,fav fora,TOP 3,43,3,7.423608743005132,-1.999860986810898,15.386888486507805,0.058,23,269,-9.655941543028717,0.0,7.2,False,False,True,CS
Under15_FT,lay,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,7,9.50331775886417,-2.3383766543938687,22.129682053048107,0.0585,19,231,-3.951668374807251,0.0875,3.95,False,False,False,nao-CS
CS_1x1,lay,Todos,U25<=1.60,fav fora,TOP 3,44,3,7.538981271573197,-1.8913648228972562,15.431899023000101,0.059,24,272,-9.441175225580215,0.0,7.2,False,False,True,CS
Over05_HT,back,fav1.40-1.80,U25 1.60-2.20,fav fora,TOP 3,41,8,11.189024390243901,-2.7273539904862605,24.3005768613607,0.0595,19,222,2.435810810810808,0.205,1.4,False,False,False,nao-CS
