linha,janela,estado,fav,N,WR,BE,gap_pp,ROI,odd_med,IC_lo,IC_hi,p,blocos,BH_passa,decisao
2.5,46-60,1-1,>1.80,90,77.77777777777779,77.53675322075007,0.24102455702771364,-0.17166666666666688,1.3,-11.246364791288567,10.701427631578946,1.0,19,False,INCONCLUSIVO
2.5,46-60,1 gol,>1.80,296,45.608108108108105,46.094971003324595,-0.48686289521648884,-0.9576013513513544,2.26,-15.735795915090584,11.566015360501563,1.0,19,False,INCONCLUSIVO
2.5,46-60,0-0,1.40-1.80,66,16.666666666666664,22.971473236424604,-6.304806569757937,-20.302272727272737,4.85,-57.10316061253561,25.61575060532685,1.0,17,False,INCONCLUSIVO
2.5,25-40,0-0,<=1.40,33,36.36363636363637,37.89617414313974,-1.5325377795033734,-3.268181818181818,3.05,-44.853765624999994,39.28171236559138,1.0,13,False,INCONCLUSIVO
3.5,10-25,1 gol,<=1.40,34,50.0,54.50816089907159,-4.508160899071589,-6.747058823529413,1.96,-37.49526988636364,20.272634698275855,1.0,11,False,INCONCLUSIVO
2.5,75-85,1-1,>1.80,111,48.64864864864865,53.503020153932226,-4.854371505283572,-9.277477477477479,1.89,-30.27651879699249,2.995286174332225,1.0,17,False,INCONCLUSIVO
3.5,25-40,1 gol,>1.80,313,25.878594249201274,28.0531299497953,-2.1745357005940216,-4.59536741214058,3.9,-18.065520516717328,6.012834207781046,1.0,19,False,INCONCLUSIVO
3.5,25-40,0-0,>1.80,354,6.214689265536723,9.735308479999748,-3.520619214463024,-28.41242937853108,13.0,-50.5340706856037,-2.900987666534771,1.0,19,False,REPROVA
2.5,75-85,diff>=2,1.40-1.80,36,50.0,59.30115544469419,-9.301155444694187,-17.83194444444445,1.78,-35.87871212121212,0.24524999999999045,1.0,14,False,INCONCLUSIVO
2.5,75-85,diff>=2,>1.80,116,51.724137931034484,55.924684387812974,-4.200546456778486,-5.93534482758621,1.82,-20.995922619047622,11.32368036684782,1.0,18,False,INCONCLUSIVO
3.5,10-25,0-0,<=1.40,43,27.906976744186046,28.578072434866048,-0.6710956906800014,-7.9127906976744224,4.1,-58.7453488372093,39.58955128205126,1.0,15,False,INCONCLUSIVO
3.5,10-25,0-0,>1.80,529,14.177693761814744,17.274590143776205,-3.0968963819614617,-16.756049149338377,6.8,-38.84998357599432,-1.493403588832089,1.0,19,False,REPROVA
3.5,10-25,1 gol,1.40-1.80,75,42.66666666666667,43.93538911529497,-1.2687224486282955,-0.8906666666666698,2.42,-27.35220479249012,25.706846064814805,1.0,17,False,INCONCLUSIVO
3.5,25-40,diff>=2,>1.80,30,50.0,59.49260892258466,-9.492608922584655,-19.15666666666667,1.9449999999999998,-49.75745833333333,3.5811718749999777,1.0,12,False,INCONCLUSIVO
3.5,46-60,diff>=2,>1.80,68,50.0,55.689923083635094,-5.689923083635096,-13.383088235294121,2.04,-39.56670454545455,13.566621093749992,1.0,15,False,INCONCLUSIVO
3.5,46-60,1 gol,>1.80,296,18.243243243243242,20.21353552473801,-1.9702922814947676,-5.102027027027033,5.5,-21.576710569884984,10.067413451374199,1.0,19,False,INCONCLUSIVO
3.5,46-60,1 gol,<=1.40,34,26.47058823529412,29.97045368903703,-3.499865453742912,-18.708823529411767,3.55,-63.77756791171477,36.363722826086914,1.0,16,False,INCONCLUSIVO
3.5,46-60,0-0,>1.80,265,4.150943396226415,6.239773864106851,-2.0888304678804364,-26.337735849056603,20.0,-71.43124503686896,12.813856646096566,1.0,19,False,INCONCLUSIVO
3.5,60-75,1 gol,>1.80,265,8.30188679245283,12.789931242175165,-4.488044449722335,-26.431320754716985,9.0,-54.0487199762704,-4.193182754208489,1.0,19,False,REPROVA
3.5,60-75,diff>=2,1.40-1.80,36,38.88888888888889,51.79457907291511,-12.905690184026225,-24.82638888888889,2.4,-58.52847826086956,-1.878347222222235,1.0,13,False,REPROVA
3.5,60-75,diff>=2,>1.80,115,37.391304347826086,45.73070578092682,-8.33940143310073,-23.220869565217388,2.7,-41.35454693434618,-7.9112487922705395,1.0,17,False,REPROVA
3.5,75-85,1 gol,1.40-1.80,51,1.9607843137254901,5.028146683011749,-3.0673623692862586,-47.74509803921569,26.0,-100.0,87.10103383458524,1.0,15,False,INCONCLUSIVO
3.5,75-85,1 gol,>1.80,197,2.5380710659898478,5.880566952378117,-3.342495886388269,-39.01522842639595,27.0,-93.54798623760372,8.61623900597407,1.0,19,False,INCONCLUSIVO
3.5,75-85,1-1,>1.80,109,11.926605504587156,18.445921322530516,-6.519315817943361,-32.29357798165138,6.0,-62.41078947368421,-7.0502284450994965,1.0,17,False,REPROVA
3.5,75-85,diff>=2,1.40-1.80,56,30.357142857142854,36.654510972518004,-6.297368115375146,-22.533035714285717,4.025,-48.69302612481857,5.157154545454536,1.0,15,False,INCONCLUSIVO
