runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
D,lay,fav<=1.40,U25>2.20,Todos,Todos,147,16,89.1156462585034,86.040393942995,3.0752523155084033,6.8,3.611708394544625,-1.8065166514836268,8.757381680636596,0.0965,28,0,,0,,147,3.611708394544625,False,INCONCLUSIVO
CS_3x1,lay,fav>1.80,Todos,fav fora,Todos,261,5,98.08429118773945,97.10773500702086,0.9765561807186018,34.0,1.0108230959577251,-0.7071867457691011,2.469251939917379,0.0965,32,0,,0,,261,1.0108230959577251,False,INCONCLUSIVO
Over25_HT,back,fav<=1.40,U25>2.20,Todos,Todos,130,94,27.692307692307693,23.96581890507175,3.726488787235946,4.6,19.50615384615384,-10.298125000000008,50.08619702947319,0.0975,27,0,,0,,130,19.50615384615384,False,INCONCLUSIVO
Under25_FT,lay,fav1.40-1.80,Todos,Todos,TOP 3,102,47,53.92156862745099,47.616451760176446,6.305116867274546,1.8,14.452982668812622,-6.209724119380864,36.51758776749235,0.0975,36,0,,0,,102,14.452982668812622,False,INCONCLUSIVO
CS_Goleada_H,back,fav1.40-1.80,U25 1.60-2.20,Todos,Todos,121,110,9.090909090909093,7.268217310335699,1.8226917805733946,12.0,79.46280991735539,-34.3491443452381,221.51015965166906,0.1,27,0,,0,,121,79.46280991735539,False,INCONCLUSIVO
CS_0x1,lay,fav1.40-1.80,Todos,Todos,Todos,591,26,95.60067681895093,94.77389721975901,0.826779599191918,22.0,0.8726567952345523,-0.5380955588672616,2.25763562788394,0.1005,36,0,,0,,591,0.8726567952345523,False,INCONCLUSIVO
1X,lay,Todos,U25>2.20,Todos,Todos,410,192,53.170731707317074,50.22700659779247,2.9437251095246086,1.87,6.700095436818462,-3.5817529949423137,16.928787099704977,0.1005,33,0,,0,,410,6.700095436818462,False,INCONCLUSIVO
Over15_HT,back,fav<=1.40,Todos,Todos,Todos,196,96,51.02040816326531,46.706522438925624,4.313885724339683,2.25,10.720153061224488,-5.4289048503386494,26.27951417958654,0.1015,30,0,,0,,196,10.720153061224488,False,INCONCLUSIVO
CS_1x1,lay,fav>1.80,Todos,Todos,TOP 3,107,11,89.7196261682243,86.62333449932191,3.0962916689023845,7.0,3.600627083878872,-2.5180646297033906,9.123253286240143,0.1045,36,0,,0,,107,3.600627083878872,False,INCONCLUSIVO
D,lay,Todos,U25<=1.60,fav casa,Todos,212,56,73.58490566037736,69.52763652571649,4.05726913466088,3.15,5.6918338217586495,-3.71694168816476,13.339141815666771,0.1055,34,0,,0,,212,5.6918338217586495,False,INCONCLUSIVO
