runner,lado,fav,gols,lado_fav,corte,N,perdas,WR,BE,edge_pp,odd_med,ROI,IC_lo,IC_hi,p,dias,N_janabr,ROI_janabr,N_maijul,ROI_maijul,N_agoset,ROI_agoset,BH_passa,decisao
CS_0x3,lay,fav<=1.40,U25>2.20,Todos,TOP 3,286,6,97.9020979020979,90.47646724364876,7.425630658449145,10.5,8.27325988184654,6.203277191946512,9.946388370519918,0.0,137,216,10.795032784999002,46,0.6087313563779934,24,0.2676500939557671,True,PASSA
CS_1x3,lay,Todos,Todos,fav casa,Todos,5155,95,98.15712900096993,95.69899286586801,2.4581361351019293,23.0,2.598975538340729,2.132978868165962,3.018857649367373,0.0,220,4371,3.2923026378686506,404,-0.36305044681329823,380,-2.2270093406969527,True,PASSA
CS_0x3,lay,Todos,U25 1.60-2.20,fav casa,TOP 3,330,3,99.0909090909091,92.93922009205163,6.151688998857474,13.5,6.673252529553397,5.400907575521871,7.671474366054682,0.0,113,327,6.712127346926389,3,2.435897435897436,0,,True,INCONCLUSIVO (perdas<5)
CS_2x0,lay,fav>1.80,U25 1.60-2.20,fav fora,Todos,1782,77,95.67901234567901,91.00970107800075,4.669311267678267,8.4,5.355135505644635,3.847839797288931,6.838030029987976,0.0,212,1153,8.984149894337602,339,0.26245039961110533,290,-3.120151870967854,True,PASSA
CS_2x0,lay,fav>1.80,U25>2.20,Todos,Todos,2013,104,94.83358171882762,92.68866615761145,2.1449155612161652,13.5,2.417263506454066,1.2263351901334754,3.572813375598638,0.0,204,969,5.595534769245499,556,-1.644280739309541,488,0.7338080699779729,True,PASSA
CS_2x0,lay,Todos,U25<=1.60,fav fora,TOP 3,330,14,95.75757575757575,89.9053687983137,5.852206959262052,7.4,6.743488274229876,4.04228838360063,9.134641600458487,0.0,166,226,9.725227597209866,63,-0.8568781499347101,41,1.9861711456662454,True,PASSA
CS_2x0,lay,Todos,U25 1.60-2.20,Todos,Todos,6873,516,92.49236141422959,90.39852814184898,2.0938332723806075,9.0,2.440292054184114,1.5621288087839669,3.3365672039529177,0.0,243,4348,4.660756189742402,1353,-1.0131245131032867,1172,-1.8106511590134853,True,PASSA
CS_2x0,lay,fav>1.80,U25 1.60-2.20,fav fora,TOP 3,553,23,95.84086799276673,90.99463929212652,4.846228700640209,8.2,5.591070468183649,3.584770309271367,7.466076043022393,0.0,212,319,10.02064895894632,151,-1.1891353012248758,83,0.9016190540558852,True,PASSA
CS_0x3,lay,fav>1.80,Todos,fav casa,TOP 3,346,3,99.13294797687861,95.7935715209202,3.3393764559584205,22.0,3.496869772208803,2.308243539087005,4.411342494687145,0.0,126,327,3.5577111609750895,12,2.446869946869947,7,2.4547074547074548,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25<=1.60,Todos,Todos,358,3,99.16201117318437,96.82385655344635,2.33815461973802,32.0,2.4241915298046406,1.373497728338296,3.2798185476532633,0.0,135,310,2.658851310389508,33,-0.09867099348916351,15,3.124853615630405,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25<=1.60,Todos,TOP 3,261,1,99.61685823754789,96.69412222822466,2.9227360093232346,29.0,3.0303628210742324,2.13583499944691,3.499402701345115,0.0,135,213,3.508488426530802,33,-0.09867099348916351,15,3.124853615630405,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25<=1.60,fav casa,Todos,307,2,99.3485342019544,96.78428167253644,2.564252529417954,30.0,2.658075592643427,1.6076194973972946,3.3735076622868885,0.0,95,307,2.658075592643427,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25<=1.60,fav casa,TOP 3,210,0,100.0,96.60476061381678,3.395239386183224,28.0,3.519492074151645,3.4001233547513223,3.6374585337917784,0.0,95,210,3.519492074151645,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,fav>1.80,U25 1.60-2.20,Todos,Todos,2127,34,98.40150446638458,96.65500055403258,1.7465039123520043,30.0,1.8152405798906024,1.222581959151689,2.3364792967095935,0.0,203,1651,2.392530139560236,250,-0.4220697680821053,226,0.07286236740658626,True,PASSA
CS_0x3,lay,Todos,U25<=1.60,fav casa,TOP 3,225,0,100.0,96.10529558401569,3.894704415984307,26.0,4.069241480262095,3.857580860399442,4.284875299204003,0.0,97,225,4.069241480262095,0,,0,,True,INCONCLUSIVO (perdas<5)
CS_0x3,lay,Todos,U25 1.60-2.20,Todos,Todos,3058,52,98.29954218443427,95.74208965745429,2.5574525269799864,25.0,2.704816262691154,2.159215570397612,3.1818457115221044,0.0,218,2449,3.5448311645269808,323,-1.1983852063465619,286,-0.08001737401080312,True,PASSA
CS_0x3,lay,Todos,U25 1.60-2.20,fav casa,Todos,2405,23,99.04365904365903,95.62180847605964,3.4218505675993938,25.0,3.620886176362613,3.2275861940441843,3.9985504934995926,0.0,113,2402,3.6223661789527024,3,2.435897435897436,0,,True,PASSA
CS_0x3,lay,fav1.40-1.80,U25 1.60-2.20,fav casa,Todos,671,5,99.2548435171386,94.05179268776641,5.2030508293721915,16.5,5.549235428620263,4.814194171981874,6.159384442054666,0.0,101,671,5.549235428620263,0,,0,,True,PASSA
CS_1x1,back,fav>1.80,U25 1.60-2.20,fav fora,Todos,1833,1604,12.493180578286967,9.406698935046922,3.0864816432400453,16.5,70.85242771412985,45.58572559930975,97.4219000637627,0.0,212,1137,123.10554089709763,379,-27.143799472295516,317,0.5962145110410062,True,PASSA
