m_l0,m_l1,m_odd_low_le9,m_odd_mid_9a10_5,m_odd_high_gt10_5,anti_martingale,cut_after_first_red_day,Ops_total,Ops_skip,WR_%,PnL_R$,ROI_%,DD_Max_R$,Delta_PnL_vs_Base_R$,Delta_DD_vs_Base_R$,Score_RiskAdj
0.95,0.9,1.05,1.0,0.95,0.05,True,527,37,93.36,8010.0,4.823,1133.07,-634.84,180.05,-670.8479
0.95,0.9,1.05,1.0,0.95,0.1,False,527,0,93.36,9366.33,4.868,1138.26,721.49,185.25,684.4425
0.95,0.9,1.05,1.0,0.95,0.1,True,527,37,93.36,8483.34,4.794,1240.14,-161.5,287.12,-218.9207
0.95,0.9,1.05,1.0,1.0,0.0,False,527,0,93.36,8413.68,4.935,921.21,-231.15,-31.8,-224.7912
0.95,0.9,1.05,1.0,1.0,0.0,True,527,37,93.36,7586.57,4.867,1023.09,-1058.27,70.07,-1072.2836
0.95,0.9,1.05,1.0,1.0,0.05,False,527,0,93.36,8921.15,4.906,1028.21,276.32,75.19,261.2769
0.95,0.9,1.05,1.0,1.0,0.05,True,527,37,93.36,8063.03,4.835,1130.08,-581.81,177.07,-617.2228
0.95,0.9,1.05,1.0,1.0,0.1,False,527,0,93.36,9428.62,4.88,1135.21,783.78,182.19,747.345
0.95,0.9,1.05,1.0,1.0,0.1,True,527,37,93.36,8539.49,4.806,1237.08,-105.35,284.06,-162.162
0.95,0.9,1.05,1.05,0.85,0.0,False,527,0,93.36,8352.41,4.884,944.23,-292.43,-8.79,-290.6691
0.95,0.9,1.05,1.05,0.85,0.0,True,527,37,93.36,7512.92,4.807,1048.52,-1131.91,95.51,-1151.012
0.95,0.9,1.05,1.05,0.85,0.05,False,527,0,93.36,8854.41,4.855,1053.95,209.58,100.94,189.391
0.95,0.9,1.05,1.05,0.85,0.05,True,527,37,93.36,7984.49,4.774,1158.25,-660.34,205.23,-701.3902
0.95,0.9,1.05,1.05,0.85,0.1,False,527,0,93.36,9356.42,4.828,1163.68,711.58,210.66,669.4512
0.95,0.9,1.05,1.05,0.85,0.1,True,527,37,93.36,8456.06,4.746,1267.97,-188.78,314.96,-251.7683
0.95,0.9,1.05,1.05,0.9,0.0,False,527,0,93.36,8407.85,4.896,941.32,-236.98,-11.7,-234.6426
0.95,0.9,1.05,1.05,0.9,0.0,True,527,37,93.36,7562.83,4.819,1045.61,-1082.0,92.59,-1100.5205
0.95,0.9,1.05,1.05,0.9,0.05,False,527,0,93.36,8913.28,4.867,1050.97,268.45,97.95,248.8556
0.95,0.9,1.05,1.05,0.9,0.05,True,527,37,93.36,8037.52,4.786,1155.26,-607.32,202.25,-647.7651
0.95,0.9,1.05,1.05,0.9,0.1,False,527,0,93.36,9418.71,4.841,1160.62,773.87,207.61,732.3537
0.95,0.9,1.05,1.05,0.9,0.1,True,527,37,93.36,8512.21,4.758,1264.91,-132.63,311.9,-195.0096
0.95,0.9,1.05,1.05,0.95,0.0,False,527,0,93.36,8463.3,4.908,938.4,-181.54,-14.61,-178.6161
0.95,0.9,1.05,1.05,0.95,0.0,True,527,37,93.36,7612.74,4.83,1042.7,-1032.09,89.68,-1050.029
0.95,0.9,1.05,1.05,0.95,0.05,False,527,0,93.36,8972.15,4.879,1047.98,327.31,94.97,308.3201
0.95,0.9,1.05,1.05,0.95,0.05,True,527,37,93.36,8090.55,4.798,1152.28,-554.29,199.26,-594.1399
0.95,0.9,1.05,1.05,0.95,0.1,False,527,0,93.36,9481.0,4.853,1157.56,836.17,204.55,795.2563
0.95,0.9,1.05,1.05,0.95,0.1,True,527,37,93.36,8568.35,4.77,1261.86,-76.48,308.84,-138.2508
0.95,0.9,1.05,1.05,1.0,0.0,False,527,0,93.36,8518.74,4.92,935.49,-126.09,-17.52,-122.5896
