lado,Data,Liga,Jogo,Metodo,motivo,arquivo
live_sem_ref,2026-04-06,IRELAND 2,Athlone Town x Longford,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,IRELAND 2,Athlone Town x Longford,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ISRAEL 1,Hapoel Tel Aviv x Maccabi Haifa,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ISRAEL 1,Hapoel Tel Aviv x Maccabi Haifa,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 2,Reggiana x Pescara,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Albinoleffe x Pergolettese,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Aurora Pro Patria 1919 x Triestina,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,FC Giugliano x Crotone,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,FC Giugliano x Crotone,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Giana Erminio x SSD Dolomiti Bellunesi,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Giana Erminio x SSD Dolomiti Bellunesi,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Salernitana x Benevento,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Sorrento x Team Altamura,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ITALY 3,Sorrento x Team Altamura,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,NETHERLANDS 2,Helmond Sport x RKC Waalwijk,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,NORWAY 1,Ham-Kam x Brann,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,NORWAY 2,Asane x Moss,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,NORWAY 2,Asane x Moss,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,POLAND 1,Nieciecza x Piast Gliwice,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,PORTUGAL 1,Casa Pia x Benfica,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,PORTUGAL 2,Porto B x Chaves,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,PORTUGAL 2,Porto B x Chaves,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ROMANIA 1,ACS Petrolul 52 x Csikszereda,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,ROMANIA 1,ACS Petrolul 52 x Csikszereda,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,SWEDEN 2,Varbergs BoIS x Ostersunds FK,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,SWEDEN 2,Varbergs BoIS x Ostersunds FK,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,SWITZERLAND 1,Grasshoppers Zurich x Sion,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,SWITZERLAND 2,Stade Nyonnais x Yverdon Sport,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260406.xlsx
live_sem_ref,2026-04-06,TURKEY 1,Kocaelispor x Basaksehir,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260406.xlsx
ref_sem_live,2026-04-06,ITALY 2,Catanzaro vs Monza,Lay_CS_0x1_B365,faltou_no_dia,
ref_sem_live,2026-04-06,NORWAY 1,HamKam vs Brann,Lay_CS_0x1_B365,faltou_no_dia,
ref_sem_live,2026-04-06,POLAND 1,Termalica B-B. vs Piast Gliwice,Lay_CS_0x1_B365,faltou_no_dia,
live_sem_ref,2026-04-07,GERMANY 3,Duisburg x VfL Osnabruck,Lay_CS_0x1_B365,fora_liga,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,EUROPA CHAMPIONS LEAGUE,Sporting Lisbon x Arsenal,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,GERMANY 3,Schweinfurt x Rot-Weiss Essen,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_0x1_B365,nao_veio_na_base,Apostas_20260407.xlsx
live_sem_ref,2026-04-07,POLAND 1,Arka Gdynia x Zaglebie Lubin,Lay_CS_1x0_B365,nao_veio_na_base,Apostas_20260407.xlsx
