Data_Arquivo,Horario_Entrada,Liga,Jogo,Metodo,Fonte_Dados,Odd_Exec,Responsabilidade_Sugerida_R$,Resultado_1_0,Placar_FT,Match_Tipo,Swap,Matched,Mes_Ref,Odd_Base,1/0,PnL_Linha,Lucro_Ciclo,Resets_Teto_Acum,__odd_signal,__result,__odd_exec,__liquidity,__date,Status_Execucao,Skip_Reason,Lucro_Acumulado,Base_Atual,Run_Atual,Level_Profit_Atual,Stake_Multiplier,Stake_Phase
2025-10-30,16:30,SWITZERLAND 1,Grasshoppers vs Young Boys,Lay_CS_0x1_B365,historico,11.03,312.5,1.0,3x3,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,15095.781079205282,1,11.03,1.0,11.03,,2025-10-30,EXECUTED,,7802.7819131577335,500.0,500.0,7802.7819131577335,1.0,Sem_Rampa
2025-10-31,15:30,FRANCE 3,Sochaux vs Versailles,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,2x0,alias_exact,False,True,2025-10,8.03,1.0,66.50071123755335,15519.694877822045,1,8.03,1.0,8.03,,2025-10-31,EXECUTED,,7869.282624395287,500.0,500.0,7869.282624395287,1.0,Sem_Rampa
2025-10-31,17:00,ENGLAND 2,Wrexham vs Coventry,Lay_CS_0x1_B365,historico,8.53,375.0,1.0,3x2,alias_exact,False,True,2025-10,8.53,1.0,62.08499335989377,15757.876181095342,1,8.53,1.0,8.53,,2025-10-31,EXECUTED,,7931.367617755181,500.0,500.0,7931.367617755181,1.0,Sem_Rampa
2025-10-31,19:00,BRAZIL 2,Coritiba vs CRB,Lay_CS_0x1_B365,historico,11.03,437.5,1.0,0x0,alias_exact,False,True,2025-10,11.03,1.0,46.61016949152543,15851.096520078392,1,11.03,1.0,11.03,,2025-10-31,EXECUTED,,7977.977787246706,500.0,500.0,7977.977787246706,1.0,Sem_Rampa
2025-11-02,08:00,SPAIN 1,Teruel vs Marbella,Lay_CS_0x1_B365,historico,8.03,250.0,1.0,1x0,alias_exact,False,True,2025-11,8.03,1.0,66.50071123755335,16205.919506137334,1,8.03,1.0,8.03,,2025-11-02,EXECUTED,,8044.478498484259,500.0,500.0,8044.478498484259,1.0,Sem_Rampa
2025-11-02,11:30,CZECH 1,Karvina vs Sparta Prague,Lay_CS_0x1_B365,historico,9.03,437.5,1.0,2x1,alias_exact,False,True,2025-11,9.03,1.0,58.21917808219179,16562.767488237427,1,9.03,1.0,9.03,,2025-11-02,EXECUTED,,8102.697676566451,500.0,500.0,8102.697676566451,1.0,Sem_Rampa
2025-11-02,12:00,SPAIN 1,Antequera vs Hercules,Lay_CS_0x1_B365,historico,8.53,375.0,1.0,1x1,alias_exact,False,True,2025-11,8.53,1.0,62.08499335989377,16786.88081787592,1,8.53,1.0,8.53,,2025-11-02,EXECUTED,,8164.782669926345,500.0,500.0,8164.782669926345,1.0,Sem_Rampa
2025-11-03,12:00,GREECE 1,Asteras Tripolis vs OFI Crete,Lay_CS_0x1_B365,historico,11.03,250.0,1.0,3x0,alias_exact,False,True,2025-11,11.03,1.0,46.61016949152543,17105.74376545702,1,11.03,1.0,11.03,,2025-11-03,EXECUTED,,8211.392839417871,500.0,500.0,8211.392839417871,1.0,Sem_Rampa
2025-11-03,14:00,CROATIA 1,Gorica vs Lok. Zagreb,Lay_CS_0x1_B365,historico,8.03,312.5,1.0,4x1,alias_exact,False,True,2025-11,8.03,1.0,66.50071123755335,17281.15441353502,1,8.03,1.0,8.03,,2025-11-03,EXECUTED,,8277.893550655424,500.0,500.0,8277.893550655424,1.0,Sem_Rampa
2025-11-03,16:30,SPAIN 2,Valladolid vs Granada CF,Lay_CS_0x1_B365,historico,9.53,437.5,1.0,2x1,alias_exact,False,True,2025-11,9.53,1.0,54.80656506447832,17444.946419624262,1,9.53,1.0,9.53,,2025-11-03,EXECUTED,,8332.700115719903,500.0,500.0,8332.700115719903,1.0,Sem_Rampa
